edge_id,source_flags,worldcover_canopy_fraction,street_tree_fraction,fused_canopy_fraction
141775,neither,0.0,0.0,0.0
141776,neither,0.0,0.0,0.0
141777,neither,0.0,0.0,0.0
141778,neither,0.0,0.0,0.0
141779,neither,0.0,0.0,0.0
141780,neither,0.0,0.0,0.0
141781,neither,0.0,0.0,0.0
141782,both,0.03529411764705882,0.10588235294117647,0.11764705882352941
141783,neither,0.0,0.0,0.0
141784,stl_only,0.0,0.16129032258064516,0.16129032258064516
141785,worldcover_only,0.1111111111111111,0.0,0.1111111111111111
141786,neither,0.0,0.0,0.0
141787,worldcover_only,0.18181818181818182,0.0,0.18181818181818182
141788,neither,0.0,0.0,0.0
141789,stl_only,0.0,0.16129032258064516,0.16129032258064516
141790,neither,0.0,0.0,0.0
141791,neither,0.0,0.0,0.0
141792,stl_only,0.0,0.037037037037037035,0.037037037037037035
141793,neither,0.0,0.0,0.0
141794,neither,0.0,0.0,0.0
141795,stl_only,0.0,0.03333333333333333,0.03333333333333333
141796,neither,0.0,0.0,0.0
141797,neither,0.0,0.0,0.0
141798,neither,0.0,0.0,0.0
141799,neither,0.0,0.0,0.0
141800,neither,0.0,0.0,0.0
141801,neither,0.0,0.0,0.0
141802,neither,0.0,0.0,0.0
141803,neither,0.0,0.0,0.0
141804,neither,0.0,0.0,0.0
141805,neither,0.0,0.0,0.0
141806,neither,0.0,0.0,0.0
141807,neither,0.0,0.0,0.0
141808,neither,0.0,0.0,0.0
141809,neither,0.0,0.0,0.0
141810,neither,0.0,0.0,0.0
141811,neither,0.0,0.0,0.0
141812,neither,0.0,0.0,0.0
141813,stl_only,0.0,0.06818181818181818,0.06818181818181818
141814,neither,0.0,0.0,0.0
141815,neither,0.0,0.0,0.0
141816,neither,0.0,0.0,0.0
141817,stl_only,0.0,0.2692307692307692,0.2692307692307692
141818,stl_only,0.0,0.4,0.4
141819,stl_only,0.0,0.22727272727272727,0.22727272727272727
141820,neither,0.0,0.0,0.0
141821,neither,0.0,0.0,0.0
141822,neither,0.0,0.0,0.0
141823,neither,0.0,0.0,0.0
141824,neither,0.0,0.0,0.0
141825,neither,0.0,0.0,0.0
141826,neither,0.0,0.0,0.0
141827,neither,0.0,0.0,0.0
141828,neither,0.0,0.0,0.0
141829,neither,0.0,0.0,0.0
141830,neither,0.0,0.0,0.0
141831,neither,0.0,0.0,0.0
141832,stl_only,0.0,0.06818181818181818,0.06818181818181818
141833,stl_only,0.0,0.2777777777777778,0.2777777777777778
141834,stl_only,0.0,0.10344827586206896,0.10344827586206896
141835,neither,0.0,0.0,0.0
141836,neither,0.0,0.0,0.0
141837,neither,0.0,0.0,0.0
141838,neither,0.0,0.0,0.0
141839,neither,0.0,0.0,0.0
141840,neither,0.0,0.0,0.0
141841,both,0.3484848484848485,0.3939393939393939,0.42424242424242425
141842,neither,0.0,0.0,0.0
141843,neither,0.0,0.0,0.0
141844,neither,0.0,0.0,0.0
141845,neither,0.0,0.0,0.0
141846,worldcover_only,0.1875,0.0,0.1875
141847,neither,0.0,0.0,0.0
141848,both,0.0975609756097561,0.17073170731707318,0.24390243902439024
141849,neither,0.0,0.0,0.0
141850,neither,0.0,0.0,0.0
141851,neither,0.0,0.0,0.0
141852,neither,0.0,0.0,0.0
141853,neither,0.0,0.0,0.0
141854,worldcover_only,0.06666666666666667,0.0,0.06666666666666667
141855,neither,0.0,0.0,0.0
141856,worldcover_only,0.1875,0.0,0.1875
141857,worldcover_only,0.025,0.0,0.025
141858,neither,0.0,0.0,0.0
141859,neither,0.0,0.0,0.0
141860,neither,0.0,0.0,0.0
141861,neither,0.0,0.0,0.0
141862,neither,0.0,0.0,0.0
141863,neither,0.0,0.0,0.0
