city,date,official_heatwave,extreme_heat,local_max_percentile,cell
valencia,2022-08-27,False,False,80.0,neither
valencia,2022-09-23,False,False,68.76712328767123,neither
valencia,2022-10-28,False,False,63.287671232876704,neither
valencia,2022-11-14,False,False,32.054794520547944,neither
valencia,2022-12-25,False,False,34.24657534246575,neither
valladolid,2022-01-15,False,False,30.41095890410959,neither
valladolid,2022-02-09,False,False,51.78082191780822,neither
valladolid,2022-03-07,False,False,26.301369863013697,neither
valladolid,2022-04-10,False,False,44.109589041095894,neither
valladolid,2022-05-12,False,False,73.15068493150685,neither
valladolid,2022-06-05,False,False,69.86301369863014,neither
valladolid,2022-06-06,False,False,70.95890410958904,neither
valladolid,2022-07-02,False,True,94.52054794520548,local_only
valladolid,2022-07-05,False,False,81.91780821917808,neither
valladolid,2022-07-10,True,True,92.6027397260274,both
valladolid,2022-07-14,True,True,99.17808219178083,both
valladolid,2022-07-18,True,True,97.26027397260275,both
valladolid,2022-07-20,True,False,89.86301369863014,official_only
valladolid,2022-07-22,True,True,90.68493150684932,both
valladolid,2022-07-25,True,False,86.84931506849315,official_only
valladolid,2022-07-31,True,True,90.13698630136986,both
valladolid,2022-08-03,True,True,93.69863013698631,both
valladolid,2022-08-06,True,True,93.15068493150685,both
valladolid,2022-08-10,True,True,93.42465753424658,both
valladolid,2022-08-14,True,False,76.71232876712328,official_only
valladolid,2022-08-20,False,False,87.67123287671232,neither
valladolid,2022-08-27,False,False,88.76712328767124,neither
valladolid,2022-09-23,False,False,71.23287671232876,neither
valladolid,2022-10-28,False,False,52.32876712328767,neither
valladolid,2022-11-14,False,False,22.465753424657535,neither
valladolid,2022-12-25,False,False,13.972602739726028,neither
zaragoza,2022-01-15,False,False,29.041095890410958,neither
zaragoza,2022-02-09,False,False,32.602739726027394,neither
zaragoza,2022-03-07,False,False,24.383561643835616,neither
zaragoza,2022-04-10,False,False,38.082191780821915,neither
zaragoza,2022-05-12,False,False,69.31506849315069,neither
zaragoza,2022-06-05,False,False,70.41095890410959,neither
zaragoza,2022-06-06,False,False,79.45205479452055,neither
zaragoza,2022-07-02,False,False,89.58904109589041,neither
zaragoza,2022-07-05,False,False,85.47945205479452,neither
zaragoza,2022-07-10,True,False,87.94520547945206,official_only
zaragoza,2022-07-14,True,True,96.43835616438356,both
zaragoza,2022-07-18,True,True,98.35616438356163,both
zaragoza,2022-07-20,True,False,86.57534246575342,official_only
zaragoza,2022-07-22,True,True,94.24657534246576,both
zaragoza,2022-07-25,True,False,74.52054794520548,official_only
zaragoza,2022-07-31,True,True,91.5068493150685,both
zaragoza,2022-08-03,True,True,96.98630136986301,both
zaragoza,2022-08-06,True,True,91.78082191780823,both
zaragoza,2022-08-10,True,True,95.61643835616438,both
zaragoza,2022-08-14,True,False,83.56164383561644,official_only
zaragoza,2022-08-20,False,False,87.12328767123287,neither
zaragoza,2022-08-27,False,False,77.26027397260275,neither
zaragoza,2022-09-23,False,False,64.65753424657534,neither
zaragoza,2022-10-28,False,False,60.54794520547945,neither
zaragoza,2022-11-14,False,False,46.02739726027397,neither
zaragoza,2022-12-25,False,False,35.342465753424655,neither
