hour,solar_elevation_deg,mean_building_shadow_fraction,mean_tree_effective_frac,person_hours,ambient_utci_c,adjusted_utci_c_BT,cold_dose_contribution_0,date,phenology
14,20.13725383016532,0.06303120787754642,0.09658442854545345,48040.69188630311,22.90018081665039,21.95516843730044,0.0,2022-12-25,evergreen
15,13.044120680199,0.0938188332142062,0.051510317272774976,50045.332812756045,22.986604690551758,22.124828723467573,0.0,2022-12-25,evergreen
16,4.27360105886049,0.16213343382884388,0.0,48236.07073232456,20.195741653442383,19.22293914312069,0.0,2022-12-25,evergreen
17,-5.680038716418559,0.0,0.0,48373.290928853574,12.276307106018066,12.27630615234375,0.0,2022-12-25,evergreen
18,-16.436499165560544,0.0,0.0,51285.768301706616,9.66363525390625,9.66363525390625,0.0,2022-12-25,evergreen
19,-27.702530241703165,0.0,0.0,53129.03082126094,9.5408935546875,9.5408935546875,0.0,2022-12-25,evergreen
20,-39.22451663054626,0.0,0.0,48550.50798406308,9.606781005859375,9.606781005859375,0.0,2022-12-25,evergreen
21,-50.71247823390261,0.0,0.0,43432.63913127963,10.000670433044434,10.00067138671875,0.0,2022-12-25,evergreen
22,-61.65226128028413,0.0,0.0,37753.235973279334,10.405029296875,10.405029296875,0.0,2022-12-25,evergreen
23,-70.63782776297491,0.0,0.0,29668.030976411406,10.33306884765625,10.33306884765625,0.0,2022-12-25,evergreen
0,-73.68655648031925,0.0,0.0,6068.089618062108,8.97161865234375,8.97161865234375,172.22056105950196,2022-12-25,deciduous
1,-68.1043179844373,0.0,0.0,10023.924744037016,8.81390380859375,8.81390380859375,1865.4142178081584,2022-12-25,deciduous
2,-58.21045456941522,0.0,0.0,7714.923682632676,8.59735107421875,8.59735107421875,3106.405733296372,2022-12-25,deciduous
3,-47.00556257865957,0.0,0.0,5651.863380607865,8.607269287109375,8.607269287109375,2219.6603346265447,2022-12-25,deciduous
4,-35.46727525460364,0.0,0.0,4860.08025380879,8.73291015625,8.73291015625,1298.07807560225,2022-12-25,deciduous
5,-24.000557475333157,0.0,0.0,5782.483950865194,8.64874267578125,8.64874267578125,2031.1398399187738,2022-12-25,deciduous
6,-12.871551257345672,0.0,0.0,10685.599834690305,8.368988037109375,8.368988037109375,6742.741326351668,2022-12-25,deciduous
7,-2.3404650958930864,0.0,0.0,23164.778460219313,8.04901123046875,8.04901123046875,22029.444164347966,2022-12-25,deciduous
8,7.275602538430253,0.1423472298042426,0.0,35066.061165849045,12.331175804138184,11.477093378987044,0.0,2022-12-25,deciduous
9,15.56072467336594,0.08472434376570324,0.0,39958.99967300588,16.106569290161133,15.598221320218283,0.0,2022-12-25,deciduous
10,21.98497444412209,0.05265943063002114,0.0,40305.409071859234,18.564577102661133,18.248618611532372,0.0,2022-12-25,deciduous
11,25.9586987418651,0.047994104341315055,0.0,41367.74910828189,20.066162109375,19.778197483327112,0.0,2022-12-25,deciduous
12,27.00194870909973,0.04467742462630752,0.0,42132.93996620778,21.20904541015625,20.940980862398405,0.0,2022-12-25,deciduous
13,24.97013214152494,0.050895769502542494,0.0,45253.63072411029,21.941375732421875,21.63600111540662,0.0,2022-12-25,deciduous
14,20.13725383016532,0.06303120787754642,0.0,48040.69188630311,22.90018081665039,22.521989754687844,0.0,2022-12-25,deciduous
15,13.044120680199,0.0938188332142062,0.0,50045.332812756045,22.986604690551758,22.423689783917887,0.0,2022-12-25,deciduous
16,4.27360105886049,0.16213343382884388,0.0,48236.07073232456,20.195741653442383,19.22293914312069,0.0,2022-12-25,deciduous
17,-5.680038716418559,0.0,0.0,48373.290928853574,12.276307106018066,12.27630615234375,0.0,2022-12-25,deciduous
18,-16.436499165560544,0.0,0.0,51285.768301706616,9.66363525390625,9.66363525390625,0.0,2022-12-25,deciduous
19,-27.702530241703165,0.0,0.0,53129.03082126094,9.5408935546875,9.5408935546875,0.0,2022-12-25,deciduous
20,-39.22451663054626,0.0,0.0,48550.50798406308,9.606781005859375,9.606781005859375,0.0,2022-12-25,deciduous
21,-50.71247823390261,0.0,0.0,43432.63913127963,10.000670433044434,10.00067138671875,0.0,2022-12-25,deciduous
22,-61.65226128028413,0.0,0.0,37753.235973279334,10.405029296875,10.405029296875,0.0,2022-12-25,deciduous
23,-70.63782776297491,0.0,0.0,29668.030976411406,10.33306884765625,10.33306884765625,0.0,2022-12-25,deciduous
