  90 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91161798703377842004 413 4 565221131 61516
  91 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 165936143-9-9-9
  92 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91452248379222302004 413 6 464721141 410 1
  93 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 3 263611147-9-9-9
  94 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91709396520675427004 413 5 312016154-9-9-9
  95 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 3 766421195-9-9-9
  96 01 0 1 68 4 4 68-928 5 7 0-9 2 6 6 6 6 6 6 6 1 6 6 6 6 6 1 1-912 41971 580899351688921004 413 2 565121181 6 515
  97 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 3 264441143-9-9-9
  98 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 367511125-9-9-9
  99 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 341879304135085404 413 1 213216251 61514
 100 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 268436145-9-9-9
 101 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 3 513821141 4 7 9
 102 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 19768536115-9-9-9
 103 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 4 414721161 116 7
 104 10 0 1 68 4 4 682929 7 330-9 1 6 1 6 6 6 6 6 6 6 6 6 6 6 1 6 4-9 17577 580899351688921004 413 3 264221257-9-9-9
 105 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 217016145-9-9-9
 106 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91452248379222302004 413 5 862616162 7 7 7
 107 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 266836125-9-9-9
 108 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 29868721135-9-9-9
 109 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 6 263741133-9-9-9
 110 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 4 763921191 6 216
 111 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 112921143-9-9-9
 112 10 0 1 68 4 4 68-918 4 2 0-9 1 1 6 6 6 6 6 6 6 6 6 6 6 6 1 6 8-9  7601 683758608270170004 413 2 313011141 61514
 113 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 412911143-9-9-9
 114 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 266236137-9-9-9
 115 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 4 514521161 4 7 7
 116 10 0 1 68 4 4 681818 2 145 3 2 1 6 6 6 6 6 6 6 6 6 6 6 6 1 1 8-9 11131 643496334807101004 411 3 612921193-9-9-9
 117 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 643496334807101004 411 2 412511163-9-9-9
 118 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 820040726030483004 411 3 266721127-9-9-9
 119 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 546693817353655004 411 3 863521181 6 313
 120 10 0 1 68 4 4 681818 7 2 0-9 1 6 1 6 6 6 6 6 6 6 6 6 6 6 1 111-9 109061093387634707310004 411 4 865021191 6 217
 121 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 546693817353655004 411 2 463011188-9-9-9
 122 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 820040726030483004 411 4 363921142 6 5 7
 123 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 546693817353655004 411 2 763621191 6 314
 124 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91286992669614203004 411 49711816144-9-9-9
 125 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 643496334807101004 411 2 413211153-9-9-9
 126 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 116021123-9-9-9
 127 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91367517216540341004 413 4 512616162 6 5 6
 128 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 266921145-9-9-9
 129 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 513411181 6 4 7
 130 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 3 562316143-9-9-9
 131 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 3 217021145-9-9-9
 132 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91367517216540341004 413 4 211716134-9-9-9
 133 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 3 411916154-9-9-9
 134 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 268531145-9-9-9
 135 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 267636127-9-9-9
 136 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91161798703377842004 413 49865921147-9-9-9
 137 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 4 264221161 71520
 138 01 0 1 68 4 4 68-920 613 0-9 2 6 6 6 6 6 1 6 6 6 6 6 6 6 1 1-9 1 69866 580899351688921004 413 2 365921142 91517
 139 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 4 263621253-9-9-9
 140 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 4 162311163-9-9-9
