   4 45101  434  5 1 1 1 1 21 68 4 41  434 68 4 414 5668 4 41410  5 2-9 2 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 3 263321141 510 1
   5 11101  127 10 1 1 1 5 11 68 4 41  127 68 4 414 0668 4 41410 10 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 341879304135085404 443 1 317416255-9-9-9
   5 21101  127 40 1 1 1 1 11 68 4 41  127 68 4 41520668 4 416 0 40 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 341879304135085404 443 1 317416255-9-9-9
   6 11110   27  5 1 1 1 6 11 68 4 41   27 68 4 4 845668 4 4 850  5 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   6 21101   89 30 1 1 1 4 11 68 4 41   89 68 4 4 9 0668 4 4 930 30 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   6 31101   72 10 1 1 1 1 11 68 4 41   72 68 4 412 0668 4 41210 10 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   6 41110   29  5 1 1 1 6 11 68 4 41   29 68 4 41340668 4 41345  5 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   6 51110   28  5 1 1 1 8 11 68 4 41   28 68 4 414 0668 4 414 5  5 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   6 61110    7  5 1 1 1 1 11 68 4 41    7 68 4 415 0668 4 415 5  5 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 580899351688921004 443 4 362821143-9-9-9
   7 13101  134  5 1 1 111 21 68 4 41  134 68 4 421 0668 4 421 5  5 2-9 2 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 4 413421141 6 915
   7 23101  130  5 1 1 1 1 21 68 4 41  130 68 4 42145668 4 42150  5 2-9 1 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 4 413421141 6 915
   8 13101  103  5 1 1 1 5 41 68 4 41  103 68 4 410 0668 4 410 5  5 4-9-9 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 3 413721181 6 915
   8 23101  114  5 1 1 1 1 41 68 4 41  114 68 4 413 0668 4 413 5  5 4-9-9 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 3 413721181 6 915
