vc_mid,flow_median,speed_median,road_class,road_class_label
0.07737794676566653,466.64037827059065,30.00000214059702,10,Residential
0.15,621.9013978788671,30.000002118276306,10,Residential
0.17702190678510146,704.6830790618202,30.000002118276306,10,Residential
0.2244266480618534,893.5198219512836,30.000002114740422,10,Residential
0.3,1284.7219909193948,30.00000197747121,10,Residential
0.3237279649733789,1414.1793477961978,30.00000197747121,10,Residential
0.3759807779521298,1489.9916022417751,30.000001921381727,10,Residential
0.44999999999999996,1892.318989711454,30.00000186428403,10,Residential
0.47817276364828537,2065.9313290164932,30.000001921381727,10,Residential
0.5238900880151496,2192.6881564994624,30.00000186428403,10,Residential
0.6,2445.6162206963204,30.00000163105869,10,Residential
0.6262519751935314,2642.855905329378,30.000001718153086,10,Residential
0.6756708148432583,2814.673125559636,30.000001016761548,10,Residential
0.75,3017.4833825374044,30.000000947608644,10,Residential
0.7746597394047555,3020.2047503066697,29.99999991001413,10,Residential
0.8255016348876554,3088.6523000292823,27.854477846129424,10,Residential
0.8999999999999999,3088.6523000292823,27.312082791494017,10,Residential
0.9268290900768387,3088.6523000292823,26.104841404141055,10,Residential
0.9751528419204423,3088.6523000292823,24.688866227024047,10,Residential
1.0464692680024055,43.00787924705011,0.2904518595070428,10,Residential
1.0695861383125582,39.29812628343724,0.2564484880370911,10,Residential
1.111223731969725,35.58837331982438,0.22244511656713942,10,Residential
