vc_mid,flow_median,n,mode,road_class,road_class_label
0.6,8995.777606885767,1805,car,4,Primary
0.621417467594988,6875.253837716822,352,car,4,Primary
0.6749999999999999,14178.258340994991,792,car,4,Primary
0.75,9607.565637687492,1237,car,4,Primary
0.7764469581981638,10105.592032863526,259,car,4,Primary
0.825,14280.742545962552,548,car,4,Primary
0.8999999999999999,10586.424185274185,974,car,4,Primary
0.927769434799055,9014.310217470234,312,car,4,Primary
0.975,13807.211873075092,817,car,4,Primary
1.05,85.11119341171036,6572,car,4,Primary
0.03815032105118913,263.5935949099491,484,car,5,PrimaryLink
0.07807021458984785,536.7286389456264,817,car,5,PrimaryLink
0.15,1372.7861916012941,1572,car,5,PrimaryLink
0.18621353267410173,1259.2816270548262,226,car,5,PrimaryLink
0.22980342671357304,1552.0318683876976,128,car,5,PrimaryLink
0.3,2745.5723832025883,608,car,5,PrimaryLink
0.3864253473706555,2632.5784804552254,114,car,5,PrimaryLink
0.44999999999999996,4098.108088034633,270,car,5,PrimaryLink
0.6,5179.9045602584765,173,car,5,PrimaryLink
0.8999999999999999,6700.696018854613,106,car,5,PrimaryLink
1.05,87.27816537590965,614,car,5,PrimaryLink
1.0626697052693026,75.00373193984362,136,car,5,PrimaryLink
0.02758175637854771,261.45433246169785,15488,car,6,Secondary
0.07378793886508934,690.5575803598979,15927,car,6,Secondary
0.12,1379.1729559507482,20452,car,6,Secondary
0.17424342127127826,1729.5174093943062,4203,car,6,Secondary
0.24,2410.5711580517764,5566,car,6,Secondary
0.3,3095.9060082935885,4372,car,6,Secondary
0.32,3054.3988434009716,1221,car,6,Secondary
0.36,3931.5373730850592,2427,car,6,Secondary
0.44999999999999996,4748.290066005628,2306,car,6,Secondary
0.48,5130.602332713861,1311,car,6,Secondary
0.5318156312778307,4449.106197516658,493,car,6,Secondary
0.6,6410.427628943081,1785,car,6,Secondary
0.6236224874399877,5156.195905980451,345,car,6,Secondary
0.669858187320298,5403.712891127493,395,car,6,Secondary
0.7414179089562278,7774.016119987321,1236,car,6,Secondary
0.7799999999999999,6416.521735462376,287,car,6,Secondary
0.84,7401.826665080562,561,car,6,Secondary
0.8999999999999999,8105.579980587376,790,car,6,Secondary
0.9275287055151085,6663.859207463523,261,car,6,Secondary
0.96,7226.606302530416,632,car,6,Secondary
1.0313392680663773,51.96030683559639,5975,car,6,Secondary
1.0799999999999998,61.6322155014438,2223,car,6,Secondary
0.15,1455.508736691192,185,car,7,SecondaryLink
0.029627493581071387,209.01842509029305,36641,car,8,Tertiary
0.07423510183652283,496.1846843500456,37454,car,8,Tertiary
0.15,1014.9742534864365,63216,car,8,Tertiary
0.1758563865792338,1166.3358538607092,8684,car,8,Tertiary
0.22499999999999998,1492.8970756323429,8739,car,8,Tertiary
0.3,2363.054431646025,19995,car,8,Tertiary
0.3241714064225801,2105.26962144182,3590,car,8,Tertiary
0.3749377830750894,2457.9262203376097,3861,car,8,Tertiary
0.44999999999999996,3569.954076507421,10440,car,8,Tertiary
0.4775714125628072,3109.6058315474697,2101,car,8,Tertiary
0.525,3412.4655198796427,2023,car,8,Tertiary
0.6,4781.552769415594,6801,car,8,Tertiary
0.6235564721164356,4043.0595652961883,1472,car,8,Tertiary
0.6749999999999999,4393.946486240292,1494,car,8,Tertiary
0.75,5776.416112478375,4950,car,8,Tertiary
0.7768670354894458,5029.844174606233,1234,car,8,Tertiary
0.8265062579237783,5037.993702974352,1081,car,8,Tertiary
0.8999999999999999,6167.783935061067,4308,car,8,Tertiary
0.9262102665443782,5013.099507518675,1196,car,8,Tertiary
0.9761828731350112,4605.166796126068,1583,car,8,Tertiary
1.05,73.5181665469281,26272,car,8,Tertiary
1.0674435051637514,41.816039333715196,5098,car,8,Tertiary
0.0689894460969423,331.7752186030051,252,car,9,TertiaryLink
0.15,1062.20132964002,990,car,9,TertiaryLink
0.3,2083.335141783977,395,car,9,TertiaryLink
0.44999999999999996,3121.6922346749484,235,car,9,TertiaryLink
0.6,3703.771339445756,123,car,9,TertiaryLink
1.05,48.98805843954228,663,car,9,TertiaryLink
0.03679394570714656,150.2177186764709,19291,car,10,Residential
0.07737794676566653,311.37935866231425,55073,car,10,Residential
0.15,621.9013978788671,116233,car,10,Residential
0.17702190678510146,704.6830790618202,10571,car,10,Residential
0.2244266480618534,893.5198219512836,10449,car,10,Residential
0.3,1414.1793477961978,27389,car,10,Residential
0.3237279649733789,1284.7219909193948,4098,car,10,Residential
0.3759807779521298,1489.9916022417751,4477,car,10,Residential
0.44999999999999996,2192.6881564994624,11692,car,10,Residential
